Filename,"General, Income Tax, and Uniform School Funds",State Government,Expenditures,Individuals & Businesses,Regulatory Impact
HB0084.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
General Fund
$0
$30,200
$30,200
General Fund, One-time
$0
$(15,100)
$0
Federal Funds
$0
$58,500
$58,500
Federal Funds, One-time
$0
$(29,300)
$0
Total Expenditures
$0
$44,300
$88,700
Enactment of this bill could cost the Office of Recovery Services the following ongoing amounts to
manage child support caseloads that would no longer expire under this bill. General Fund: FY 2023 -
$15,100; FY 2024 - $30,200; FY 2025 - $45,200; FY 2026 - $60,300; FY 2027 - $75,400, and Federal
Funds: FY 2023 - $29,300; FY 2024 - $58,500; FY 2025 - $87,800; FY 2026 - $117,100; and FY 2027
- $146,400. To the extent that the Office of Recovery Services and private individuals choose to litigate
cases that would otherwise have expired, the Attorney General's Office and Judiciary could experience
an increase in costs in an unknown amount.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$(44,300)
$(88,700)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.
H.B. 84
2022/01/19 08:34, Lead Analyst: Alexander R. Wilson Attorney: JC1","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
SB0150S03.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
General Fund
$0
$170,000
$170,000
General Fund, One-time
$52,400
$9,600
$0
Total Expenditures
$52,400
$179,600
$170,000
Enactment of this legislation could cost the House and Senate each, one-time from the General Fund,
$1,200 in FY 2022 and $4,800 in FY 2023 for compensation of legislators on the new task force.
Enactment could also cost the Commission on Criminal and Juvenile Justice $50,000 in FY 2022 from
the General Fund one-time and $170,000 in FY 2023 from the General Fund ongoing for per diem and
travel reimbursement of non-legislators on the new task force, and a Data Program Manager; these
funds are appropriated in this bill.
FY 2022
FY 2023
FY 2024
Net All Funds
$(52,400)
$(179,600)
$(170,000)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses.
S.B. 150 3rd Sub. (Ivory)
2022/02/16 10:49, Lead Analyst: Steven M. Allred Attorney: ECM"
HB0233.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
General Fund
$0
$1,357,800
$1,357,800
Education Fund
$0
$118,000
$118,000
Transportation Fund
$0
$232,600
$232,600
Federal Funds
$0
$494,000
$494,000
Dedicated Credits Revenue
$0
$163,200
$163,200
Other Financing Sources
$0
$185,400
$185,400
Restricted Accounts (FN Only)
$0
$206,500
$206,500
Total Expenditures
$0
$2,757,500
$2,757,500
Enactment of this bill may cost the state $2,757,500 ongoing in FY 2023 for increased contribution
rates for the Utah Retirement System, PEHP insurance premium increases, and personnel costs, of
which $1,357,700 is from the General Fund, and $118,00 is from the Education Fund.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$(2,757,500)
$(2,757,500)
Local Government
UCA 36-12-13(2)(c)
Enactment of this bill may increase annual costs of employers who elect to cover their employees
under the Benefit Protection Contract equal to the employer's Tier 2 contribution rate times the
imputed payroll of future mental impaired disabled members whose disability duration extends beyond
2 years.
H.B. 233
2022/02/08 16:18, Lead Analyst: Kimberly D. Madsen Attorney: DC","UCA 36-12-13(2)(c)
Enactment of this bill may increase annual costs of employers who elect to cover their employees
under the Benefit Protection Contract equal to the employer's Tier 2 contribution rate times the
imputed payroll of future mental impaired disabled members whose disability duration extends beyond
2 years.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0184.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0462.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
OWHTF-Low Income Housing
$0
$50,000,000
$0
New Account Created By Bill (FN
Only)
$0
$50,000,000
$0
Total Revenues
$0
$100,000,000
$0
Enactment of this legislation will appropriate $50,000,000 from the General Fund to the Olene Walker
Housing Loan Fund and Rural Housing Fund each one-time in FY 2023.","FY 2022
FY 2023
FY 2024
General Fund
$0
$340,000
$340,000
General Fund, One-time
$0
$104,750,000
$0
Olene Walker Housing
$0
$50,000,000
$0
New Account Created By Bill (FN
Only)
$0
$50,000,000
$0
Total Expenditures
$0
$205,090,000
$340,000
Enactment of this legislation will appropriate from the General Fund one-time in FY 2023 to: (1)
Department of Workforces Services - Housing and Community Development $500,000 to develop
a statewide database for moderate income housing units; (2) Department of Workforces Services
- Housing and Community Development $750,000, which will be split to $375,000 in FY 2023 and
FY 2024, to provide assistance to landlords under the Landlord Incentive Program; (3) Department
of Workforce Services - Olene Walker Housing Loan Fund $50,000,000 to provide gap financing for
tax credit projects and to offset related administrative costs; (4) Department of Workforce Services -
Housing and Community Development $250,000 to distribute funds to nonprofit entity in the state to
provide training and education on land use law; (5) Department of Workforce Services - Housing and
Community Development $250,000 to a nonprofit entity in the state that engages in efforts to increase
housing affordability; (6) Department of Workforce Services - Rural Housing Fund $50,000,000 to
provide loans and to offset administrative costs; and (7) Governor's Office of Economic Opportunity
- Pass-Through $3,000,000 to a statewide business association that provides matching funds.
Enactment of this legislation will appropriate from the General Fund ongoing beginning in FY 2023
to: (1) Department of Workforce Services - Administration $208,000 to hire two full-time equivalent
employees; and (2) Department of Workforce Services - Housing and Community Development
H.B. 462
2022/02/25 08:16, Lead Analyst: Paul Kim Attorney: GH
$132,000 to hire one full-time equivalent employee. Spending from the two enterprise funds will
presumably also equal $50,000,000 each one-time in FY 2023.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$(105,090,000)
$(340,000)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation could cost the Point of the Mountain State Land Authority $25,000 one-
time from the General Fund in FY 2023 due to requiring consultants with expertise in housing and
$3,600 ongoing from the General Fund starting in FY 2023 due to increased staff time. Enactment
of this legislation could cost municipalities approximately between $357,000 and $546,000 due to
modifying municipalities' moderate income housing plan. The total impact is unknown at this time.","UCA 36-12-13(2)(c)
Enactment of this legislation could increase costs for owners of a primary dwelling unit due to being
required to obtain a permit or license for renting an internal accessory dwelling unit. Enactment of this
legislation could increase funding for certain businesses or entities due to receiving funding for certain
uses; the aggregate impact is unknown.","UCA 36-12-13(2)(d)
Enactment of this legislation could result in a small increase in the regulatory burden for Utah residents
or businesses."
HB0333.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
General Fund
$0
$(1,202,900)
$(1,202,900)
Education Fund
$0
$2,177,900
$2,177,900
Dedicated Credits Revenue
$0
$0
$0
Total Expenditures
$0
$975,000
$975,000
Enactment of this legislation could decrease expenditures by the Governor's Office of Economic
Opportunity by $1,934,400 ongoing from the General Fund and $120,900 ongoing from dedicated
credits beginning in FY 2023. Expenditure changes would come from the following: ($176,200)
ongoing General Fund and ($70,200) ongoing dedicated credits from the movement of the Pete Suazo
Athletic Commission to CCE, ($427,400) ongoing General Fund and ($50,700) ongoing dedicated
credits from the movement of Talent Ready Utah to USHE, ($1,000,500) ongoing General Fund from
the movement of Utah Works to USHE, ($200,000) ongoing General Fund for the movement of the
Utah Broadband Center to the Department of Transportation, ($355,300) ongoing General Fund for the
movement of the Main Street Program to CCE, ($1,500,000) ongoing General Fund for the transfer of
the REDI program to the Rural Opportunity Fund, ($750,000) ongoing General Fund for the transfer
of the Rural Coworking Innovation Center Grant Program to the Rural Opportunity Fund, $2,250,000
to the Rural Opportunity Fund from the previously mentioned transfers, and $225,000 ongoing
General Fund for 1.5 FTEs and additional contract work for the Utah Technology Innovation Fund,
Economic Assistance Grants, and the Unified Economic Opportunity Commission. Enactment of this
legislation could increase expenditures by the Department of Cultural and Community Engagement by
$531,500 ongoing from the General Fund and $70,200 ongoing from dedicated credits beginning in
FY 2023. Costs would come from the following:$176,200 ongoing General Fund and $70,200 ongoing
dedicated credits for the Pete Suazo Athletic Commission and $355,300 ongoing General Fund for
the Main Street Program . Enactment of this legislation could increase costs to USHE by $2,177,900
ongoing from the Education Fund and $50,700 ongoing from dedicated credits beginning in FY 2023.
Expenditures would come from the following: $427,400 ongoing Education Fund and $50,700 ongoing
dedicated credits for the Talent Ready Utah Center, $1,000,500 ongoing Education Fund for the
Utah Works Program, and $750,000 ongoing Education Fund for the Talent Ready Utah Returnship
H.B. 333
2022/02/11 10:00, Lead Analyst: Timothy G. Dinehart Attorney: GH
program. Enactment of this legislation could increase costs to the Department of Transportation by
$200,000 ongoing from the General Fund for the transfer of the Utah Broadband Center.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$(975,000)
$(975,000)
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable expenditures by Utah residents
or businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0183S01.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
SB0063S02.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures, although it could result
in a loss of productivity.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
To the extent that local governments are required to adjust leave policies, enactment of this legislation
could result in unknown costs or productivity loss.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
SB0052.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
To the extent that fewer people are convicted as a result of this bill, this could reduce revenue/case in
the following amounts: (1) General Fund $1,070; (2) Court Security $53.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
To the extent that fewer cases are filed in district court as a result of the charges in this bill, enactment
of this legislation could save the Courts $420 from the General Fund per case.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this bill could reduce revenue to local governments by about $380/case for fines/fees.
This bill could also save justice courts an unknown amount in court processing costs and county jails
about $83/day/offender in incarceration costs.","UCA 36-12-13(2)(c)
To the extent that fewer individuals violate provisions of this bill, this could save certain offenders
about $1,500/case, however the total amount is unknown.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
SB0152.fn.pdf,,"UCA 36-12-13(2)(c)
Revenues
FY 2022
FY 2023
FY 2024
Total Revenues
$0
$0
$0
Enactment of this legislation likely will not materially impact state revenue.","FY 2022
FY 2023
FY 2024
Total Expenditures
$0
$0
$0
Enactment of this legislation likely will not materially impact state expenditures.
FY 2022
FY 2023
FY 2024
Net All Funds
$0
$0
$0
Local Government
UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable costs for local governments.","UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct expenditures from tax or fee changes for Utah
residents and businesses.","UCA 36-12-13(2)(d)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
