Filename,Individuals & Businesses
HB0233.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this bill may increase annual costs of employers who elect to cover their employees
under the Benefit Protection Contract equal to the employer's Tier 2 contribution rate times the
imputed payroll of future mental impaired disabled members whose disability duration extends beyond
2 years."
HB0462.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation could increase costs for owners of a primary dwelling unit due to being
required to obtain a permit or license for renting an internal accessory dwelling unit. Enactment of this
legislation could increase funding for certain businesses or entities due to receiving funding for certain
uses; the aggregate impact is unknown."
HB0333.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable expenditures by Utah residents
or businesses."
SB0052.fn.pdf,"UCA 36-12-13(2)(c)
To the extent that fewer individuals violate provisions of this bill, this could save certain offenders
about $1,500/case, however the total amount is unknown."
SB0031.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation could reduce the requirement to file an application and pay $150 per
application in certain cases. The total estimated impact on Utah residents and businesses would be a
savings of $18,000 per year, starting in FY 2023."
HB0130S01.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0029S02.fn.pdf,"UCA 36-12-13(2)(c)
To the extent that individuals pay higher fines as a result of the provisions of this bill, this could cost
certain offenders about $1,000/case, however the total amount is unknown."
HB0076S01.fn.pdf,"UCA 36-12-13(2)(c)
To the extent that certain individuals violate provisions of this bill, this could cost certain offenders
about $130/case, however the total amount is unknown."
HB0289S01.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation could increase health insurance premiums for eligible and participating
enrollees by approximately $262,700 annually in aggregate, or by approximately $1,000 per enrollee
for 258 enrollees.
H.B. 289 1st Sub. (Buff)
2022/03/03 13:19, Lead Analyst: Maddy Oritt Attorney: AVA"
SB0100S01.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable expenditures by Utah residents
or businesses."
HB0401.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation could result in a decrease in property tax of approximately $4.9 million
and additional circuit breaker credits of approximately $5.8 million for a total reduction in tax liability
of approximately $10.7 million for those that qualify. Other property taxpayers that do not qualify for
circuit breaker credits would see a small tax increase due to a tax shift. It is estimated that the owner
of a $400,000 primary residential home would pay about $3.36 more in property tax due to this tax
shift."
HB0221.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation creates a nonrefundable corporate and individual income tax credit for the
purchase or lease of an alternative fuel vehicle for tax years 2023 to 2026. Credit amounts range from
$1,000 to $3,000 per qualifying vehicle. In total, it is estimated that enactment of this bill would reduce
tax liability for owners of qualifying vehicles by approximately $27.8 million in FY 2024, $41.7 million in
FY 2025, $62.5 million in FY 2026, and $93.8 million in FY 2027."
HB0088.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation would allow individuals to choose to purchase these special license plates
and spend $25 annually at the time of registration, in addition to the applicable license plate fees.
Assuming a minimum of 500 individuals purchase this license plate, the total statewide cost for them
would be $7,500 one-time and $12,500 ongoing."
HB0368S01.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation could reduce fees for personalized license plate holders by approximately
$49 per plate due to the moratorium on personalized license plates. These saved fees would
aggregate to $816,000 in FY 2023 and $857,000 in FY 2024."
HB0337S02.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0242.fn.pdf,"UCA 36-12-13(2)(c)
To the extent that secondary water suppliers pass along installation costs to individual and business
customers, enactment of this legislation could result in increased costs of $1,750 per customer, with
an estimated total cost of $386.8 million. These expenses can be reduced by up to 70 percent, subject
to suppliers applying for and receiving grant funding from the Water Resources Board."
SB0176.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation could cost an estimated 12 applicants about $125/each for a total of
$1,500 annually in initial fees beginning in FY 2023."
SB0076.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation could change the tax credits available for certain businesses to claim,
resulting in an approximate aggregate impact of $100,000 less in business income tax credits
beginning in FY2024."
SB0059S03.fn.pdf,"UCA 36-12-13(2)(c)
An estimated 1,160,820 Utah individual income tax filers may see tax savings of $129 on average
in tax year 2022. Enactment of an individual and corporate income tax rate cut to 4.85% will reduce
tax liability for the majority of individuals and businesses beginning in tax year 2022. The increase
in the income-based phaseout thresholds for the social security tax credit could result in an average
annual tax savings of $210 for an estimated 71,257 individuals in tax year 2022. The nonrefundable
state earned income tax credit may result in tax savings of $194 on average for an estimated 81,764
individuals in tax year 2022. Individual tax savings will vary based on filing status, family size, income,
and other factors.
S.B. 59 3rd Sub. (Ivory)
2022/02/08 11:47, Lead Analyst: Maddy Oritt Attorney: AVA"
HB0374.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
SB0068.fn.pdf,"UCA 36-12-13(2)(c)
About 10 individuals/year could pay a $90 filing fee each for a total of $900 ongoing beginning in FY
2023, in addition to increased liability for civil damages."
SB0019.fn.pdf,"UCA 36-12-13(2)(c)
To the extent that individuals violate provisions of this bill, enactment of this legislation could cost
certain offenders about $120 per case. The aggregate amount is unknown."
HB0244S02.fn.pdf,"UCA 36-12-13(2)(c)
If primacy is authorized by the Environmental Protection Agency, enactment of this legislation would
result in fees assessed to geologic carbon storage operations to pay for the costs of the Division of Oil,
Gas, and Mining to permit, regulate, and monitor these activities."
HB0025S04.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation could increase fees for participants by an aggregated $50,000.
Enactment of this legislation could also increase tax credits to eligible participants by an aggregated
$6,090,000 per year from FY 2027 to FY 2030.
H.B. 25 4th Sub. (Green)
2022/02/07 16:46, Lead Analyst: Timothy G. Dinehart Attorney: CRG"
SB0007.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable expenditures by Utah residents
or businesses.
S.B. 7
2022/01/18 10:01, Lead Analyst: Steven M. Allred Attorney: VA1"
SB0107.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation likely will not result in direct, measurable expenditures by Utah residents
or businesses."
HB0366.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation likely will not change the regulatory burden for Utah residents or
businesses."
HB0268S02.fn.pdf,"UCA 36-12-13(2)(c)
Taxpayers could see an aggregate corporate tax reduction of $2.9 million in FY 2023 and $2.5 million
in FY 2024. as a result of the non-business income provisions of the bill. The proposed sales tax
exemption for amounts paid or charged for admission to an indoor skydiving, rock climbing, or surfing
facility, provided a trained instructor actively instructs the participant may reduce sales tax liability for
certain taxpayers by approximately $330,000 in FY 2023 and $380,000 in FY 2024."
SB0085S05.fn.pdf,"UCA 36-12-13(2)(c)
To the extent that individuals violate provisions of this bill, this could cost certain offenders about
$1,500/case, however the total amount is unknown. Additionally, to the extent that individuals seek
relief through expungement as a result of this legislation, those individuals would pay a $150 filing fee."
SB0043S04.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation could result in an estimated 200 applicants per year paying $70 per
transaction for a total cost of $14,000, and an estimated 150 citations in FY 2023 and 200 citations in
FY 2024 with a $500 fine each, totaling $75,000 in FY 2023 and $100,000 FY 2024, for a total impact
of $89,000 in FY 2023 and $114,000 in FY 2024. To the extent that individuals violate provisions of
this bill, this could cost certain offenders about $1,500/case, however the total amount is unknown."
HB0065.fn.pdf,"UCA 36-12-13(2)(c)
To the extent that individuals violate provisions of this bill, this could cost certain offenders about
$1,500/case; the aggregate amount is unknown.
H.B. 65
2022/02/10 17:47, Lead Analyst: Maddy Oritt Attorney: JR"
HB0165.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation would impact taxpayers' sales tax liability on candy and food and
food ingredients purchases. Under this bill, a household that spends $5,000 annually on food/food
ingredients would see tax savings of approximately $87.50 per year. Households would also see a tax
increase equal to $4.25 per $100 spent on candy due to this bill. In total, it is estimated that changes
in this bill would decrease overall sales tax liability for taxpayers by approximately $130.8 million in FY
2023 and $156.5 million in FY 2024.
H.B. 165
2022/01/20 09:46, Lead Analyst: Maddy Oritt Attorney: CRG"
SB0180S03.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation could result in an estimated 500 certified message practitioners
applicants per year paying a $60 fee, to have their certification application reviewed, for a total cost of
$30,000 starting FY 2023. Enactment of this legislation could also result in an estimated 69 apprentice
applicants per year paying a $35 fee to have their applications reviewed, for a total cost of $2,400
starting FY 2023. Enactment of this legislation could result in 500 applicants paying $20 each to re-
designate their supervisor, for a total cost of $10,000. Enactment of this legislation could also result
in ten citations at $500 each per year, totaling $5,000. Enactment of this bill could also result in 500
applicants and 69 apprentices paying $15 to BCI and $13 to FBI for background checks, totaling
$16,000 beginning in FY 2023."
HB0015S01.fn.pdf,"UCA 36-12-13(2)(c)
Enactment of this legislation could result in decreased licensing fees for child care providers; the
aggregate impact is unknown."
SB0213S01.fn.pdf,"UCA 36-12-13(2)(c)
To the extent that individuals violate provisions of this bill, this could cost certain offenders about $340/
case; the aggregate amount is unknown."
SB0189.fn.pdf,"UCA 36-12-13(2)(c)
Individuals cited for violations could pay an aggregated $6,000 in fines and surcharge fees beginning
in FY 2023."
HB0336S04.fn.pdf,"UCA 36-12-13(2)(c)
To the extent that individuals violate provisions of this bill, this could cost certain offenders up to
$1,000/case, however the total amount is unknown."
SB0167S02.fn.pdf,"UCA 36-12-13(2)(c)
To the extent that more people are convicted of a higher offense as a result of this bill, certain
individuals could pay more in fines/fees, however the amount is indeterminable."
SB0232S01.fn.pdf,"UCA 36-12-13(2)(c)
To the extent that the Military Installation Development Authority applies different property tax rates to
different tax areas and issues bonds, individuals and businesses in MIDA property could see changed
property tax liability."
SB0226S01.fn.pdf,"UCA 36-12-13(2)(c)
To the extent that individuals violate provisions of this bill, this could cost certain offenders about
$1,500/case, however the total amount is unknown. To the extent that third-party contractors violate
provisions of this bill, this could cost contractors up to $25,000 in civil penalties plus amounts
expended by education entities per case, however the total amount is unknown."
